Philadelphia 76ers,49,23,113.6,Danny Green,SF,6-6,215,June 22 1987,28.0,.412,.405,.438,.775,3.8,1.7,1.3,0.8,1.0,1.8,9.5,Dwight Howard,C,6-10,265,December 8 1985,17.3,.587,.250,.611,.576,8.4,0.9,0.4,0.9,1.6,2.9,7.0,Matisse Thybulle,SG,6-5,201,March 4 1997,20.0,.420,.301,.590,.444,1.9,1.0,1.6,1.1,0.5,2.0,3.9,Shake Milton,SG,6-5,205,September 26 1996,23.2,.450,.350,.494,.830,2.3,3.1,0.6,0.3,1.6,2.1,13.0,Tobias Harris,PF,6-8,226,July 15 1992,32.5,.512,.394,.546,.892,6.8,3.5,0.9,0.8,1.7,1.9,19.5,Tyrese Maxey,SG,6-2,200,November 4 2000,15.3,.462,.301,.512,.871,1.7,2.0,0.4,0.2,0.7,1.3,8.0,Ben Simmons,PG,6-11,240,July 20 1996,32.4,.557,.300,.562,.613,7.2,6.9,1.6,0.6,3.0,2.9,14.3,Seth Curry,SG,6-2,185,August 23 1990,28.7,.467,.450,.485,.896,2.4,2.7,0.8,0.1,1.1,1.7,12.5,Furkan Korkmaz,SG,6-7,202,July 24 1997,19.3,.401,.375,.445,.732,2.1,1.5,0.9,0.2,0.8,1.2,9.1,Joel Embiid,C,7-0,280,March 16 1994,31.1,.513,.377,.541,.859,10.6,2.8,1.0,1.4,3.1,2.4,28.5,Mike Scott,PF,6-7,237,July 16 1988,16.7,.360,.342,.411,.667,2.4,0.8,0.5,0.3,0.4,1.4,4.2,Isaiah Joe,SG,6-4,165,July 2 1999,9.3,.361,.368,.333,.750,0.9,0.5,0.3,0.1,0.3,0.8,3.7,Paul Reed,PF,6-9,210,June 14 1999,6.8,.538,.000,.583,.500,2.3,0.5,0.4,0.5,0.5,1.1,3.4,George Hill,PG,6-4,188,May 4 1986,22.4,.482,.388,.547,.800,2.0,2.4,0.8,0.2,1.0,1.0,8.7,Rayjon Tucker,PG,6-3,209,September 24 1997,4.9,.500,.286,.636,.737,0.8,0.4,0.1,0.0,0.3,0.6,2.4,Anthony Tolliver,PF,6-8,240,June 1 1985,9.0,.235,.286,.000,.833,0.9,0.2,0.3,0.2,0.3,0.6,1.5,Gary Clark,PF,6-6,225,November 16 1994,16.8,.303,.287,.375,.800,2.9,0.8,0.3,0.2,0.4,0.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,48,24,118.6,Joe Harris,SF,6-6,220,September 6 1991,31.0,.505,<strong>.475</strong>,.555,.778,3.6,1.9,0.7,0.2,0.9,2.0,14.1,Jeff Green,C,6-8,235,August 28 1986,27.0,.492,.412,.564,.776,3.9,1.6,0.5,0.4,0.8,1.8,11.0,Bruce Brown,PG,6-4,202,August 15 1996,22.3,.556,.288,.599,.735,5.4,1.6,0.9,0.4,0.8,2.2,8.8,Landry Shamet,SG,6-4,190,March 13 1997,23.0,.408,.387,.463,.846,1.8,1.6,0.5,0.2,0.8,1.5,9.3,Timothé Luwawu-Cabarrot,SF,6-7,220,May 9 1995,18.1,.365,.314,.470,.814,2.2,1.2,0.6,0.1,0.7,1.7,6.4,DeAndre Jordan,C,6-11,265,July 21 1988,21.9,.763,.000,.766,.500,7.5,1.6,0.3,1.1,1.5,2.0,7.5,Kyrie Irving,PG,6-2,195,March 23 1992,34.9,.506,.402,.561,.922,4.8,6.0,1.4,0.7,2.4,2.6,26.9,Tyler Johnson,SG,6-3,186,May 7 1992,17.5,.393,.364,.471,.857,2.0,1.2,0.4,0.0,0.4,1.1,5.4,James Harden,PG,6-5,220,August 26 1989,36.6,.466,.362,.553,.861,7.9,10.8,1.2,0.8,4.0,2.3,24.6,Kevin Durant,PF,6-10,240,September 29 1988,33.1,.537,.450,.577,.882,7.1,5.6,0.7,1.3,3.4,2.0,26.9,Nicolas Claxton,C,6-11,215,April 17 1999,18.6,.621,.200,.636,.484,5.2,0.9,0.7,1.3,0.6,2.1,6.6,Blake Griffin,PF,6-10,250,March 16 1989,25.8,.423,.341,.505,.744,4.9,3.0,0.7,0.3,1.3,2.4,11.0,Reggie Perry,PF,6-8,250,March 21 2000,8.1,.410,.190,.491,.769,2.8,0.5,0.2,0.2,0.6,1.5,3.0,Chris Chiozza,PG,5-11,175,November 21 1995,10.5,.352,.310,.391,.765,1.1,3.0,0.3,0.3,0.7,0.9,4.0,Alize Johnson,PF,6-7,212,April 22 1996,10.5,.588,.167,.629,1.000,5.0,0.8,0.3,0.3,0.5,0.9,5.2,Mike James,PG,6-1,189,August 18 1990,18.2,.370,.355,.377,.778,2.5,4.2,0.5,0.1,1.5,0.8,7.7,Spencer Dinwiddie,SG,6-5,215,April 6 1993,21.3,.375,.286,.444,1.000,4.3,3.0,0.7,0.3,1.7,1.3,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,46,26,120.1,Brook Lopez,C,7-0,282,April 1 1988,27.2,.503,.338,.632,.845,5.0,0.7,0.6,1.5,0.9,2.1,12.3,Bryn Forbes,SG,6-2,205,July 23 1993,19.3,.473,.452,.511,.770,1.6,0.6,0.3,0.0,0.6,1.1,10.0,Pat Connaughton,SG,6-5,209,January 6 1993,22.8,.434,.371,.583,.775,4.8,1.2,0.7,0.3,0.5,1.4,6.8,Khris Middleton,SF,6-7,222,August 12 1991,33.4,.476,.414,.508,.898,6.0,5.4,1.1,0.1,2.6,2.4,20.4,Bobby Portis,C,6-10,250,February 10 1995,20.8,.523,.471,.542,.740,7.1,1.1,0.8,0.4,0.8,1.7,11.4,Donte DiVincenzo,SG,6-4,203,January 31 1997,27.5,.420,.379,.475,.718,5.8,3.1,1.1,0.2,1.4,1.7,10.4,Giannis Antetokounmpo,PF,6-11,242,December 6 1994,33.0,.569,.303,.636,.685,11.0,5.9,1.2,1.2,3.4,2.8,28.1,Jrue Holiday,PG,6-3,205,June 12 1990,32.3,.503,.392,.561,.787,4.5,6.1,1.6,0.6,2.2,1.7,17.7,Thanasis Antetokounmpo,SF,6-6,219,July 18 1992,9.7,.489,.241,.556,.510,2.2,0.8,0.4,0.2,0.8,1.3,2.9,Jordan Nwora,SF,6-8,225,September 9 1998,9.1,.459,.452,.466,.760,2.0,0.2,0.5,0.2,0.8,0.7,5.7,Sam Merrill,SG,6-4,205,May 15 1996,7.8,.444,.447,.440,1.000,1.0,0.7,0.3,0.0,0.3,0.6,3.0,Jeff Teague,PG,6-3,195,June 10 1988,17.3,.433,.439,.431,.848,1.6,2.4,0.6,0.2,1.2,1.0,6.7,P.J. Tucker,PF,6-5,245,May 5 1985,26.1,.373,.336,.448,.750,3.9,1.2,0.8,0.4,0.8,2.4,3.7,Mamadi Diakite,PF,6-9,228,January 21 1997,10.1,.400,.125,.469,.786,2.4,0.6,0.5,0.4,0.2,1.1,3.1,Axel Toupane,SF,6-7,197,July 23 1992,7.6,.364,.500,.333,.714,0.8,0.5,0.3,0.4,0.0,0.8,1.8,Elijah Bryant,SG,6-5,210,April 19 1995,32.0,.462,.200,.625,1.000,6.0,3.0,0.0,1.0,4.0,4.0,16.0,Justin Jackson,SF,6-8,220,March 28 1995,17.0,.403,.308,.510,.838,2.3,1.5,0.4,0.1,0.9,0.9,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,41,31,107.0,RJ Barrett,SG,6-6,214,June 14 2000,34.9,.441,.401,.457,.746,5.8,3.0,0.7,0.3,1.9,2.6,17.6,Julius Randle,PF,6-8,250,November 29 1994,<strong>37.6</strong>,.456,.411,.474,.811,10.2,6.0,0.9,0.3,3.4,3.2,24.1,Reggie Bullock,SF,6-6,205,March 16 1991,30.0,.442,.410,.521,.909,3.4,1.5,0.8,0.2,0.7,2.2,10.9,Immanuel Quickley,PG,6-3,190,June 17 1999,19.4,.395,.389,.401,.891,2.1,2.0,0.5,0.2,0.9,1.8,11.4,Nerlens Noel,C,6-11,220,April 10 1994,24.2,.614,.000,.623,.714,6.4,0.7,1.1,2.2,1.0,2.8,5.1,Elfrid Payton,PG,6-3,195,February 22 1994,23.6,.432,.286,.460,.682,3.4,3.2,0.7,0.1,1.6,1.8,10.1,Obi Toppin,PF,6-9,220,March 4 1998,11.0,.498,.306,.629,.731,2.2,0.5,0.3,0.2,0.4,0.9,4.1,Alec Burks,SG,6-6,214,July 20 1991,25.6,.420,.415,.425,.856,4.6,2.2,0.6,0.3,1.0,2.1,12.7,Taj Gibson,PF,6-9,232,June 24 1985,20.8,.627,.200,.671,.727,5.6,0.8,0.7,1.1,0.5,2.2,5.4,Kevin Knox,SF,6-7,215,August 11 1999,11.0,.392,.393,.389,.800,1.5,0.5,0.3,0.1,0.4,0.9,3.9,Derrick Rose,PG,6-2,200,October 4 1988,25.6,.470,.388,.492,.866,2.6,4.2,1.0,0.4,1.6,1.1,14.7,Frank Ntilikina,PG,6-4,200,July 28 1998,9.8,.367,.479,.194,.444,0.9,0.6,0.5,0.1,0.3,1.4,2.7,Mitchell Robinson,C,7-0,240,April 1 1998,27.5,.653,,.653,.491,8.1,0.5,1.1,1.5,0.8,2.8,8.3,Theo Pinson,SG,6-5,212,November 5 1995,2.0,.111,.000,1.000,,0.3,0.1,0.0,0.0,0.1,0.2,0.1,Norvel Pelle,C,6-10,231,February 3 1993,6.5,.533,,.533,.667,1.5,0.2,0.1,0.7,0.2,1.1,1.5,Luca Vildoza,G,6-3,190,August 11 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,41,31,113.7,Solomon Hill,PF,6-6,226,March 18 1991,21.3,.359,.321,.453,.761,3.0,1.1,0.7,0.2,0.6,1.6,4.5,Kevin Huerter,SG,6-7,190,August 27 1998,30.8,.432,.363,.510,.781,3.3,3.5,1.2,0.3,1.1,2.4,11.9,Trae Young,PG,6-1,180,September 19 1998,33.7,.438,.343,.491,.886,3.9,9.4,0.8,0.2,4.1,1.8,25.3,John Collins,PF,6-9,235,September 23 1997,29.3,.556,.399,.615,.833,7.4,1.2,0.5,1.0,1.3,3.1,17.6,Clint Capela,C,6-10,240,May 18 1994,30.1,.594,,.594,.573,<strong>14.3</strong>,0.8,0.7,2.0,1.2,2.3,15.2,Danilo Gallinari,PF,6-10,233,August 8 1988,24.0,.434,.406,.466,.925,4.1,1.5,0.6,0.2,0.8,2.1,13.3,Onyeka Okongwu,C,6-8,235,December 11 2000,12.0,.644,.000,.658,.632,3.3,0.4,0.5,0.7,0.6,2.0,4.6,Tony Snell,SG,6-6,213,November 10 1991,21.1,.515,.569,.419,1.000,2.4,1.3,0.3,0.2,0.4,1.6,5.3,Brandon Goodwin,PG,6-0,180,October 2 1995,13.2,.377,.311,.433,.651,1.5,2.0,0.4,0.0,0.8,0.9,4.9,Bogdan Bogdanović,SG,6-6,220,August 18 1992,29.7,.473,.438,.522,.909,3.6,3.3,1.1,0.3,1.2,2.3,16.4,Nathan Knight,PF,6-10,253,September 20 1997,8.5,.370,.182,.463,.800,2.2,0.2,0.3,0.3,0.5,0.7,3.8,Skylar Mays,SG,6-4,205,September 5 1997,8.2,.449,.350,.517,.880,1.1,0.9,0.4,0.1,0.3,0.5,3.8,Bruno Fernando,C,6-9,240,August 15 1998,6.8,.409,.000,.429,.682,2.4,0.3,0.1,0.1,0.6,0.7,1.5,Cam Reddish,SF,6-8,218,September 1 1999,28.8,.365,.262,.460,.817,4.0,1.3,1.3,0.3,1.3,2.6,11.2,Lou Williams,PG,6-1,175,October 27 1986,21.6,.410,.399,.414,.867,2.1,3.4,0.7,0.1,1.6,0.9,11.3,De'Andre Hunter,SF,6-8,225,December 2 1997,29.5,.484,.326,.582,.859,4.8,1.9,0.8,0.5,1.3,2.6,15.0,Kris Dunn,PG,6-3,205,March 18 1994,11.3,.083,.000,.100,.750,1.5,0.5,0.5,0.5,0.8,2.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,40,32,108.1,Duncan Robinson,SF,6-7,215,April 22 1994,31.4,.439,.408,.625,.827,3.5,1.8,0.6,0.3,1.1,2.5,13.1,Bam Adebayo,C,6-9,255,July 18 1997,33.5,.570,.250,.573,.799,9.0,5.4,1.2,1.0,2.6,2.3,18.7,Andre Iguodala,SF,6-6,215,January 28 1984,21.3,.383,.330,.530,.658,3.5,2.3,0.9,0.6,1.1,1.4,4.4,Precious Achiuwa,PF,6-8,225,September 19 1999,12.1,.544,.000,.546,.509,3.4,0.5,0.3,0.5,0.7,1.5,5.0,Kendrick Nunn,PG,6-2,190,August 3 1995,29.5,.485,.381,.583,.933,3.2,2.6,0.9,0.3,1.4,1.9,14.6,Tyler Herro,SG,6-5,195,January 20 2000,30.3,.439,.360,.498,.803,5.0,3.4,0.6,0.3,1.9,1.3,15.1,Jimmy Butler,SF,6-7,230,September 14 1989,33.6,.497,.245,.538,.863,6.9,7.1,<strong>2.1</strong>,0.3,2.1,1.4,21.5,Goran Dragić,PG,6-3,190,May 6 1986,26.7,.432,.373,.479,.828,3.4,4.4,0.7,0.2,2.4,2.3,13.4,Gabe Vincent,PG,6-3,200,June 14 1996,13.1,.378,.309,.500,.870,1.1,1.3,0.4,0.0,0.7,1.6,4.8,Max Strus,SF,6-5,215,March 28 1996,13.0,.455,.338,.897,.667,1.1,0.6,0.3,0.1,0.2,1.1,6.1,KZ Okpala,PF,6-8,215,April 28 1999,12.1,.375,.240,.522,.533,1.8,0.5,0.3,0.3,0.4,1.6,2.5,Trevor Ariza,SF,6-8,215,June 30 1985,28.0,.411,.350,.500,.773,4.8,1.8,1.0,0.6,0.7,1.8,9.4,Dewayne Dedmon,C,7-0,245,August 12 1989,13.1,.708,.200,.750,.741,5.4,0.8,0.6,0.4,0.8,2.3,7.1,Nemanja Bjelica,PF,6-10,234,May 9 1988,16.1,.454,.318,.559,.725,3.4,1.9,0.4,0.1,0.9,1.8,6.5,Victor Oladipo,SG,6-4,213,May 4 1992,32.7,.408,.326,.466,.754,4.8,4.6,1.4,0.4,2.5,2.5,19.8,Udonis Haslem,C,6-8,235,June 9 1980,3.0,1.000,,1.000,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Omer Yurtseven,C,7-0,264,June 19 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,36,36,112.6,Payton Pritchard,SG,6-1,195,January 28 1998,19.2,.440,.411,.482,.889,2.4,1.8,0.6,0.1,0.8,1.6,7.7,Jayson Tatum,SF,6-8,210,March 3 1998,35.8,.459,.386,.502,.868,7.4,4.3,1.2,0.5,2.7,1.9,26.4,Grant Williams,PF,6-6,236,November 30 1998,18.1,.437,.372,.508,.588,2.8,1.0,0.5,0.4,0.9,2.6,4.7,Jaylen Brown,SG,6-6,223,October 24 1996,34.5,.484,.397,.536,.764,6.0,3.4,1.2,0.6,2.7,2.9,24.7,Semi Ojeleye,PF,6-6,240,December 5 1994,17.0,.403,.367,.492,.750,2.6,0.7,0.3,0.0,0.4,1.0,4.6,Tristan Thompson,PF,6-9,254,March 13 1991,23.8,.518,.000,.523,.592,8.1,1.2,0.4,0.6,1.1,2.2,7.6,Robert Williams,C,6-8,237,October 17 1997,18.9,.721,.000,.727,.616,6.9,1.8,0.8,1.8,1.0,2.0,8.0,Marcus Smart,PG,6-3,220,March 6 1994,32.9,.398,.330,.482,.790,3.5,5.7,1.5,0.5,2.0,2.6,13.1,Aaron Nesmith,SF,6-5,215,October 16 1999,14.5,.438,.370,.543,.786,2.8,0.5,0.3,0.2,0.5,1.9,4.7,Kemba Walker,PG,6-0,184,May 8 1990,31.8,.420,.360,.486,.899,4.0,4.9,1.1,0.3,2.0,1.4,19.3,Carsen Edwards,SG,5-11,200,March 12 1998,8.9,.423,.286,.604,.846,0.8,0.5,0.2,0.0,0.2,0.8,4.0,Tremont Waters,PG,5-10,175,January 10 1998,9.2,.405,.395,.413,.941,0.8,2.4,0.6,0.0,1.0,0.7,3.8,Tacko Fall,C,7-5,311,December 10 1995,7.2,.724,,.724,.333,2.7,0.2,0.1,1.1,0.3,1.2,2.5,Luke Kornet,C,7-2,250,July 15 1995,11.2,.436,.254,.690,.500,2.2,0.8,0.1,1.0,0.2,0.6,3.4,Romeo Langford,SG,6-4,216,October 25 1999,15.7,.356,.278,.390,.750,1.9,0.7,0.3,0.3,0.6,1.3,3.1,Evan Fournier,SG,6-7,205,October 29 1992,30.0,.457,.413,.504,.788,3.0,3.4,1.1,0.5,1.7,2.3,17.1,Jabari Parker,PF,6-8,245,March 15 1995,12.7,.545,.182,.636,.769,3.2,0.8,0.1,0.4,0.8,1.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
